ID_cliente,Nombre_cliente,Edad,Género,Estado_civil,Ingreso_anual,Número_hijos,País,Fecha_registro,Frecuencia_compra,Calificación_satisfacción,Producto_frecuente,Email,Descuento_promedio,Activo,Código_postal,Comentarios_cliente,Días_desde_última_compra,Rango_crediticio,Comprará_de_nuevo
C1000,Jorge Escobar,56.0,Otro,Soltero,113145.0,3.0,México,2022-12-10,7.5,4.7,Hogar,william99@martin-allen.org,39.0,,10223,Eat care even treatment also whether camera.,428.0,Bajo,1
C1001,Holly Barr,69.0,M,Soltero,156430.0,0.0,Colombia,2022-02-25,12.1,0.2,Electrónica,robertsaustin@hotmail.com,49.0,,41752,Require alone back close may worker of goal.,1292.0,Medio,1
C1002,Brian Robinson,46.0,M,Soltero,104914.0,,Chile,2021-09-04,18.1,9.4,Belleza,lanesusan@yahoo.com,9.0,1.0,38085,Source difficult think girl group.,1732.0,Alto,1
C1003,Mr. John Horn,32.0,nan,nan,112870.0,0.0,Argentina,2021-01-18,11.5,1.9,Hogar,mmartinez@hester.com,24.0,0.0,72994,Lead rock grow money story case.,1560.0,Bajo,1
C1004,Tiffany Thomas,60.0,Otro,Divorciado,126243.0,3.0,Argentina,2020-12-03,8.0,8.0,Ropa,ysilva@yahoo.com,99.0,0.0,79120,Receive number pass people gun.,147.0,Premium,1
C1005,Shirley Herrera,25.0,M,nan,24596.0,,México,2024-10-30,3.6,8.1,Deportes,thomassims@yahoo.com,48.0,1.0,07398,Face because next.,1141.0,Medio,0
C1006,Hannah Allen,78.0,nan,Divorciado,174644.0,,Colombia,2022-02-10,17.4,1.8,Ropa,marywall@morris.com,7.0,0.0,01917,Happy go agreement whole walk.,849.0,Medio,0
C1007,Steven Davis,38.0,Otro,nan,142351.0,4.0,Argentina,2022-07-03,12.9,4.0,Deportes,kirkjudy@rivera-johnson.biz,10.0,1.0,04489,Treat year painting win.,366.0,Premium,1
C1008,Ellen Miller,56.0,nan,nan,121496.0,4.0,Colombia,2024-08-20,7.8,9.8,Hogar,barreraadam@yahoo.com,4.0,0.0,07194,Maintain nothing claim feel coach any even.,849.0,Bajo,0
C1009,Curtis Phillips,75.0,F,Viudo,140273.0,1.0,Colombia,2023-03-14,9.2,2.0,Electrónica,mgreen@williams-oneill.biz,44.0,1.0,79343,Figure research win accept offer professor subject.,1089.0,Alto,1
C1010,Michael Andrews,36.0,M,nan,148155.0,2.0,México,2021-03-25,0.4,9.0,Ropa,townsendkaylee@yahoo.com,,0.0,69951,Look since alone reduce street thus.,812.0,Bajo,1
